# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
158,Herbert Jones,NOR,"PF,SF,SG",,,70,28.3,8.6,1.2,3.3,2.6,1.4,0.5,0.402,0.813,1.3
159,Sam Merrill,CLE,"SF,SG",,,70,24.1,10.3,2.5,2.5,2.1,0.7,0.1,0.441,0.868,0.7
160,Ace Bailey,UTH,"PF,SF",,,75,29.4,13.7,1.9,4.0,1.8,0.9,0.7,0.437,0.75,1.5
161,RJ Barrett,TOR,"PF,SF,SG",,,72,31.2,19.6,1.7,5.6,4.0,0.7,0.3,0.482,0.68,2.2
162,Yaxel Lendeborg,GSW,"PF,SF",,,75,24.9,10.2,0.6,5.1,1.8,0.9,0.8,0.491,0.755,1.2
163,Max Strus,LAC,"PF,SF",,,72,25.6,9.4,2.0,4.3,2.9,0.7,0.3,0.432,0.824,1.1
164,Mikel Brown Jr.,BKN,PG,,,74,31.4,15.4,1.3,2.8,4.9,1.5,0.2,0.431,0.796,3.1
165,Jalen Smith,CHI,"PF,C",OUT,,72,20.8,10.0,1.4,6.3,1.2,0.4,0.8,0.483,0.76,0.9
166,Julian Champagnie,SAS,"PF,SF,SG",,,80,23.4,9.0,1.9,4.5,1.3,0.6,0.4,0.432,0.855,0.7
167,Jusuf Nurkic,UTH,C,OUT,,71,24.2,9.8,0.5,8.6,3.4,1.1,0.6,0.495,0.615,2.0
168,De'Anthony Melton,GSW,"PG,SG",,,72,21.1,10.7,1.4,2.9,2.3,1.4,0.4,0.398,0.817,1.6
169,Tari Eason,HOU,"PF,SF,SG",,,72,21.9,9.1,1.2,5.3,1.2,1.1,0.5,0.444,0.765,1.1
170,Luke Kornet,SAS,C,,,74,14.6,4.7,0.0,4.1,1.2,0.4,0.7,0.658,0.783,0.3
171,Bobby Portis Jr.,MIA,"PF,C",,,71,22.7,12.4,1.5,6.5,1.6,0.6,0.2,0.478,0.752,0.9
172,De'Andre Hunter,SAC,"SF,PF",OUT,,71,27.0,14.6,1.9,3.8,1.6,0.7,0.2,0.455,0.852,1.5
